,time,rms,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness
0,2025-07-04 03:44:03.000000,0.144546672628168,501.54914587228,711.2824967158318,9.017149591346707,0.0012603991170042719
1,2025-07-04 03:45:35.892229,0.16402365251826123,682.3077907860736,979.8232191411583,13.88754257308127,0.0014657464432391862
2,2025-07-04 03:47:08.784458,0.17908576618442318,872.4760873116475,1265.009490908229,18.716449003750807,0.0016700629307946655
3,2025-07-04 03:48:41.676687,0.16385312392488124,993.454449805563,1446.4677249153438,21.416322544950937,0.00187478061512229
4,2025-07-04 03:50:14.568916,0.11553939019069077,992.2910398344861,1458.384880105565,23.198085798413693,0.0015574867615730911
5,2025-07-04 03:51:47.461145,0.0627835224676877,1051.1870856464707,1548.5850352789073,24.028762815765376,0.0017315183936865652
6,2025-07-04 03:53:20.353374,0.049873909234814356,1108.0093729515022,1635.3552017648556,23.93110098555819,0.002016310573064403
7,2025-07-04 03:54:53.245603,0.041324364298023296,1158.5309109251386,1707.182165331539,23.876094108693408,0.0023892409142288666
8,2025-07-04 03:56:26.137832,0.03582022971529515,1192.4172196024008,1760.400394854298,24.157450767303917,0.002708896686680964
9,2025-07-04 03:57:59.030061,0.03229230494257062,1206.2538183533031,1789.6227361340834,24.206791161131257,0.0028097927766466465
10,2025-07-04 03:59:31.922290,0.03579851773697882,1134.020226606671,1714.4971534764652,24.992634666878725,0.0023800795919214583
11,2025-07-04 04:01:04.814519,0.038163675391860316,1120.805399859805,1696.2269104373402,26.06386268721342,0.002183885966695743
12,2025-07-04 04:02:37.706748,0.03641991357244552,1149.9051486145736,1728.1651707949325,26.256652467277476,0.00233982186174071
13,2025-07-04 04:04:10.598977,0.03449591986555606,1215.011014504418,1776.2341010855173,25.647791633484317,0.003024441964746075
14,2025-07-04 04:05:43.491206,0.031763444850873214,1311.9418791597468,1852.6658001316928,24.88372860518558,0.00410686316455358
15,2025-07-04 04:07:16.383435,0.0243873600107152,1495.3360450023981,2010.9315276994257,23.4053490717635,0.006131110885008821
16,2025-07-04 04:08:49.275664,0.017830690944613894,1643.601183178232,2130.836213432658,21.573703851114274,0.00827606392813832
17,2025-07-04 04:10:22.167893,0.01565617656344548,1740.5269508467004,2191.8152096811345,20.644529333981716,0.009955868678938716
18,2025-07-04 04:11:55.060122,0.014758097011828798,1789.753913300251,2222.594730704454,20.19632740912632,0.010941074050344833
19,2025-07-04 04:13:27.952350,0.013032845649309456,1830.6370819825881,2253.5353731422297,19.89897299058081,0.011869259546642207
20,2025-07-04 04:15:00.844579,0.012368948143767192,1851.7464122300285,2268.079675805141,19.735607243387587,0.012434952870061898
21,2025-07-04 04:16:33.736808,0.011935869083553553,1854.4453074725423,2273.4378332098327,19.644059008614963,0.01254990736118525
22,2025-07-04 04:18:06.629037,0.01198013321836479,1843.8860097309619,2266.6621948620063,19.47457916132789,0.01239526638370189
23,2025-07-04 04:19:39.521266,0.012240446199197317,1825.5403501099681,2251.2371007158895,19.41910241100513,0.012178352028702646
24,2025-07-04 04:21:12.413495,0.01294921017824672,1808.8940473343916,2236.6922303702236,19.295426382960443,0.011825108878765965
25,2025-07-04 04:22:45.305724,0.01332389202960767,1793.141591843515,2226.257812549737,19.119685925761438,0.011551979238609419
26,2025-07-04 04:24:18.197953,0.014059589404193686,1786.2674178168008,2217.075400187216,19.026437748247215,0.011420780399981232
27,2025-07-04 04:25:51.090182,0.014439563383162024,1802.593511257601,2224.3107199357796,18.922222477579744,0.011741361166619387
