COUNTRY CODE,n_checklists,n_observers,n_tourist,n_tourist_ecoregion,local,local_ecoregion,date_range_cell,date_range_ecoregion,guided,guided_ecoregion
SY,544,107,425,262,119,274,43638988.235294117647,172926214.92537313,0.07222222222222222222,0.06542056074766355140
SZ,4175,646,2311,1850,1864,2325,76007394.107784431138,127793505.34131737,0.10821331257298559751,0.11701388888888888889
TC,10068,1228,4664,2475,5404,4216,100971856.019070321812,132930409.44552384,0.04344591578634131826,0.03285627897601290062
TD,1996,88,849,429,1147,1567,72223993.587174348697,151265882.16432866,0.14836601307189542484,0.09738041002277904328
TF,1390,54,430,38,960,250,41859121.726618705036,45783900.000000000000,0.00567107750472589792,0.00000000000000000000
TG,2171,140,857,678,1314,1480,223004369.59926301,293942609.08248378,0.03385579937304075235,0.03017991874637260592
TH,433130,10383,161252,132016,271878,283366,249802266.23507954,295641016.78743903,0.10119839839952030440,0.09724373218414023747
TJ,7582,170,2165,1654,5417,5928,62208239.303613822210,76647192.614085993142,0.03931129056833765046,0.04449244060475161987
TK,29,8,29,,0,,583944.827586206897,,0.00000000000000000000,
TL,8434,117,905,488,7529,5535,395112885.55845388,445672516.68603686,0.03287042935405784176,0.02890475361309420164
TM,690,80,398,317,292,373,47013120.000000000000,74897405.217391304348,0.01769911504424778761,0.00966183574879227053
TN,9486,630,6092,3635,3394,5483,109709856.54648956,218888174.42421584,0.11712224753227031131,0.07645122681029323758
TO,1851,187,1074,417,777,70,69644794.813614262561,19842017.248459958932,0.00425531914893617021,0.00000000000000000000
TR,257157,7916,57627,37694,199530,199030,226855177.23725195,273734744.42135145,0.03352594778723228200,0.02699679072391218814
TT,68589,3038,40228,35116,28361,27514,138745712.53116389,144915832.64250359,0.14829252446501806960,0.15150729335494327391
TV,125,14,125,6,0,0,470016.000000000000,576000.000000000000,0.00000000000000000000,
TW,1543124,11376,92522,59515,1450602,1221458,436859173.91888144,557138830.75568338,0.02430803404962551804,0.01711153353926040300
TZ,116194,5270,72496,62114,43698,51484,81150705.144843967847,116239668.89557915,0.14099900886589819831,0.14903802727847529582
UA,83765,1295,6460,3665,77305,79330,404211961.13890050,628386069.44514730,0.00539159320301520378,0.00222119040746922334
UG,125999,3494,69606,58935,56393,67064,97140893.016611242946,133148478.90538814,0.16926937206864789896,0.15279963348803856343
UM,6032,257,1108,802,4924,4166,339063006.36604775,363341356.52173913,0.00974930362116991643,0.00542197076850542197
US,90308998,764878,7935988,4432270,82373010,81304711,492514157.42070796,566332423.04374585,0.01780327768334877158,0.01183406655989809018
UY,109172,2859,17838,11052,91334,93118,252337944.41065475,326202830.91101085,0.07394770126775891990,0.05104122907039548701
UZ,9475,531,6981,6250,2494,3225,27574922.469656992084,44976739.630606860158,0.10774410774410774411,0.09692671394799054374
VA,1356,1103,1125,957,231,399,48082938.053097345133,91144353.982300884956,0.04713114754098360656,0.04306220095693779904
VC,7515,649,2925,1880,4590,4623,326360611.25748503,411839650.13070890,0.15026684456304202802,0.11532301121195942338
VE,355637,2985,30617,22352,325020,323987,272285439.94241319,323633793.31348765,0.03575266849202746826,0.02793332717427260996
