Com_Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
European Robin,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,3.0,2.0,5.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,4.0,9.0,10.0,12.0,23.0,17.0,15.0,16.0,12.0,9.0,15.0,15.0,12.0,10.0,15.0,14.0,11.0,6.0,11.0,9.0,6.0,12.0,13.0,15.0,15.0,9.0,6.0,7.0,2.0,6.0,8.0,5.0,7.0,1.0,5.0,7.0,4.0,1.0,8.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goldcrest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,3.0,3.0,1.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,5.0,4.0,3.0,3.0,3.0,3.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gray Heron,5.0,3.0,4.0,2.0,3.0,3.0,4.0,5.0,2.0,3.0,2.0,0.0,3.0,3.0,3.0,1.0,5.0,2.0,3.0,2.0,3.0,0.0,1.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,8.0,8.0,14.0,14.0,7.0,14.0,10.0,7.0,8.0,3.0,14.0,4.0,6.0,7.0,2.0,2.0,2.0,6.0,1.0,11.0,3.0,5.0,3.0,3.0,4.0,7.0,5.0,5.0,4.0,5.0,7.0,3.0,2.0,5.0,4.0,3.0,1.0,0.0,2.0,2.0,5.0,2.0,1.0,0.0,1.0,0.0,2.0,5.0,3.0,2.0,4.0,3.0,1.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,0.0,6.0,3.0,2.0,1.0,4.0
Graylag Goose,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,4.0,8.0,7.0,6.0,10.0,4.0,4.0,5.0,2.0,4.0,1.0,0.0,3.0,4.0,2.0,2.0,1.0,2.0,3.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Great Spotted Woodpecker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,7.0,7.0,7.0,4.0,5.0,10.0,8.0,5.0,9.0,8.0,7.0,6.0,4.0,4.0,3.0,6.0,2.0,4.0,6.0,8.0,6.0,2.0,5.0,6.0,4.0,5.0,4.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Great Tit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,5.0,5.0,0.0,3.0,5.0,5.0,7.0,10.0,8.0,3.0,4.0,6.0,6.0,6.0,4.0,5.0,7.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greater White-fronted Goose,3.0,2.0,5.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,6.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,0.0,1.0,4.0,4.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0
Hawfinch,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,2.0,2.0,2.0,3.0,1.0,0.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Long-tailed Tit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,4.0,10.0,10.0,11.0,11.0,11.0,12.0,16.0,10.0,12.0,10.0,12.0,14.0,9.0,9.0,15.0,8.0,7.0,4.0,13.0,6.0,6.0,6.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mallard,3.0,4.0,2.0,6.0,4.0,2.0,5.0,5.0,3.0,6.0,8.0,4.0,7.0,4.0,2.0,10.0,7.0,7.0,5.0,5.0,3.0,3.0,8.0,4.0,3.0,5.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,5.0,1.0,3.0,7.0,2.0,2.0,1.0,4.0,5.0,2.0,7.0,2.0,0.0
Redwing,4.0,4.0,6.0,5.0,4.0,4.0,6.0,5.0,3.0,4.0,4.0,5.0,5.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,1.0,3.0,1.0,4.0,5.0,3.0,5.0,3.0,5.0,2.0,3.0,7.0,4.0,10.0,4.0,5.0,5.0,5.0,5.0,5.0,10.0,6.0,4.0,4.0,1.0,3.0,6.0,1.0,3.0,7.0,8.0,10.0,6.0,4.0,6.0,6.0,4.0,5.0,3.0,4.0,6.0,2.0,3.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,4.0,4.0,1.0,2.0,1.0,5.0,3.0,6.0,5.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,5.0,2.0,5.0,7.0
Rook,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,8.0,15.0,27.0,29.0,26.0,12.0,4.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Rose-ringed Parakeet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,27.0,63.0,72.0,75.0,76.0,73.0,75.0,75.0,74.0,77.0,77.0,75.0,73.0,77.0,78.0,77.0,78.0,76.0,77.0,75.0,77.0,76.0,78.0,77.0,77.0,77.0,76.0,76.0,74.0,75.0,74.0,74.0,74.0,76.0,77.0,78.0,61.0,27.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Short-toed Treecreeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,8.0,7.0,4.0,7.0,10.0,9.0,4.0,8.0,9.0,3.0,4.0,8.0,10.0,7.0,7.0,5.0,5.0,6.0,7.0,4.0,3.0,6.0,6.0,5.0,3.0,2.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tawny Owl,0.0,4.0,2.0,4.0,9.0,4.0,4.0,3.0,4.0,7.0,5.0,7.0,9.0,3.0,2.0,3.0,4.0,3.0,7.0,6.0,7.0,8.0,2.0,2.0,1.0,2.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,3.0,2.0,1.0,4.0,3.0,3.0,6.0,1.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0
