COUNTRY CODE,year,n_checklists,n_observers,n_tourist,n_tourist_ecoregion,local,local_ecoregion,date_range_cell,date_range_ecoregion,guided,guided_ecoregion
AD,2017,91,34,54,46,37,45,86218654.945054945055,100234443.956043956044,0.00000000000000000000,0.00000000000000000000
AD,2018,77,33,39,33,38,44,193484384.41558442,238487563.63636364,0.00000000000000000000,0.02173913043478260870
AD,2019,187,47,160,152,27,35,39052337.967914438503,50422023.529411764706,0.02150537634408602151,0.01980198019801980198
AD,2020,120,18,24,15,96,105,170137440.00000000,179210160.00000000,0.00000000000000000000,0.00000000000000000000
AD,2021,223,44,19,13,204,210,150006672.64573991,165149919.28251121,0.00000000000000000000,0.00000000000000000000
AD,2022,366,77,127,98,239,268,123196485.24590164,179242701.63934426,0.02264150943396226415,0.02040816326530612245
AD,2023,389,99,143,115,246,274,118718486.37532134,158549996.91516710,0.05576208178438661710,0.04406779661016949153
AD,2024,589,115,248,221,341,368,136518747.70797963,181711228.52292020,0.00990099009900990099,0.00928074245939675174
AD,2025,313,78,153,131,160,182,94858090.734824281150,116891194.88817891,0.03508771929824561404,0.03765690376569037657
AE,2010,1063,64,125,83,938,798,381458763.49952963,443149326.67423383,0.00102986611740473738,0.00000000000000000000
AE,2011,1200,57,65,19,1135,928,406624896.00000000,460365110.87645195,0.00172117039586919105,0.00107642626480086114
AE,2012,2172,100,243,146,1929,1659,350478258.56353591,408018327.75623269,0.01503759398496240602,0.01124260355029585799
AE,2013,1800,113,152,80,1648,1315,356250768.00000000,406959050.32258065,0.00120048019207683073,0.00302571860816944024
AE,2014,2280,157,232,143,2048,1709,360247604.21052632,385495853.13174946,0.00657894736842105263,0.01075268817204301075
AE,2015,2266,185,329,180,1937,1752,318844863.54810238,348283990.06211180,0.01406328478151682572,0.00842696629213483146
AE,2016,2560,224,536,370,2024,1737,307501076.25000000,338861128.04935928,0.01594746716697936210,0.01868131868131868132
AE,2017,2874,250,518,363,2356,1958,310331453.86221294,326410414.82119776,0.03050713153724247227,0.02820267686424474187
AE,2018,6366,287,628,364,5738,4411,888832793.21394910,898585313.84293194,0.02053283556762260309,0.01645175633614939973
AE,2019,9012,350,723,474,8289,6631,923588465.51264980,941238754.45460943,0.01805604408488685661,0.01662253604001176817
AE,2020,9737,243,384,262,9353,6879,1018609015.50785663,1004199843.83139616,0.00696643445218492717,0.00603621730382293763
AE,2021,9855,254,599,363,9256,7225,783439000.54794521,773640869.16183448,0.00887131252672082086,0.00685965152970229112
AE,2022,7671,428,1086,550,6585,5565,250634832.69456394,262785352.73916599,0.02911921579933688915,0.01496953872932985205
AE,2023,8943,698,1815,1193,7128,5260,204067409.32572962,216720776.56903766,0.01979936642027455121,0.01489056332974524578
AE,2024,7984,738,1867,1078,6117,5001,217528016.03206413,230283402.40171081,0.01526364477335800185,0.01100173711638679792
AE,2025,5383,595,1446,937,3937,3239,222741350.77094557,237282682.75862069,0.01266125179168657430,0.00851438637698179683
AF,2010,33,10,22,21,11,12,28093090.909090909091,30444218.181818181818,0.00000000000000000000,0.00000000000000000000
AF,2011,26,7,11,8,15,18,43748307.692307692308,71482707.692307692308,0.00000000000000000000,0.00000000000000000000
AF,2012,32,7,10,6,22,26,16810200.000000000000,19607400.000000000000,0.00000000000000000000,0.00000000000000000000
AF,2013,403,10,11,11,392,392,30565447.146401985112,31302312.655086848635,0.00000000000000000000,0.00000000000000000000
AF,2014,198,8,7,7,191,191,31723636.363636363636,32444945.454545454545,0.00000000000000000000,0.00000000000000000000
AF,2015,12,4,2,2,10,10,11692800.000000000000,11692800.000000000000,0.00000000000000000000,0.00000000000000000000
AF,2016,87,7,12,8,75,79,57883034.482758620690,58677517.241379310345,0.00000000000000000000,0.00000000000000000000
AF,2017,189,11,7,5,182,184,50770285.714285714286,51204571.428571428571,0.00000000000000000000,0.00000000000000000000
AF,2018,51,8,7,6,44,45,37858447.058823529412,43608282.352941176471,0.00000000000000000000,0.00000000000000000000
AF,2019,26,6,6,6,20,20,151080369.23076923,151080369.23076923,0.00000000000000000000,0.00000000000000000000
AF,2020,27,7,20,18,7,9,6806400.000000000000,8361600.000000000000,0.00000000000000000000,0.10000000000000000000
AF,2021,31,9,17,13,14,18,13224774.193548387097,32851509.677419354839,0.00000000000000000000,0.00000000000000000000
AF,2022,84,6,5,5,79,79,53442514.285714285714,53442514.285714285714,0.00000000000000000000,0.00000000000000000000
AF,2023,120,17,104,100,16,20,10542240.000000000000,17284320.000000000000,0.00000000000000000000,0.01298701298701298701
AF,2024,13,7,8,5,5,8,16495753.846153846154,27136246.153846153846,0.00000000000000000000,0.00000000000000000000
AF,2025,15,7,15,15,0,0,645120.000000000000,645120.000000000000,1.00000000000000000000,1.00000000000000000000
AG,2010,49,21,28,18,21,21,217354187.75510204,345912369.23076923,0.00000000000000000000,0.00000000000000000000
AG,2011,84,35,55,23,29,46,147529028.57142857,170164173.91304348,0.11904761904761904762,0.00000000000000000000
AG,2012,94,27,56,24,38,59,150000510.63829787,226411720.48192771,0.09523809523809523810,0.00000000000000000000
AG,2013,83,36,47,20,36,54,170823209.63855422,262755243.24324324,0.00000000000000000000,0.00000000000000000000
AG,2014,156,48,117,55,39,85,44063446.153846153846,241051062.85714286,0.03076923076923076923,0.00000000000000000000
AG,2015,72,29,35,29,37,38,130562400.00000000,151720979.10447761,0.00000000000000000000,0.00000000000000000000
AG,2016,165,50,103,65,62,76,69013701.818181818182,106768953.19148936,0.18811881188118811881,0.14018691588785046729
AG,2017,294,64,139,72,155,193,76019069.387755102041,278180286.79245283,0.08256880733944954128,0.00000000000000000000
AG,2018,357,55,146,70,211,144,76940531.092436974790,157640029.90654206,0.13688212927756653992,0.00000000000000000000
AG,2019,792,91,451,213,341,540,66543818.181818181818,269079203.18725100,0.14190317195325542571,0.04043545878693623639
AG,2020,519,75,163,91,356,401,101038723.69942197,122765970.73170732,0.03535353535353535354,0.01909307875894988067
AG,2021,876,63,195,99,681,703,147661347.94520548,159420712.21945137,0.00000000000000000000,0.00000000000000000000
AG,2022,813,123,280,129,533,593,155715967.52767528,181806900.83102493,0.00312989045383411581,0.00801282051282051282
AG,2023,1428,172,585,342,843,808,108327932.77310924,152933709.91304348,0.13346418056918547596,0.08416389811738648948
AG,2024,1475,254,893,578,582,733,104823584.54237288,169303930.43478261,0.07184241019698725377,0.13276231263383297645
AG,2025,1219,221,796,587,423,502,72995312.879409351928,85500535.537190082645,0.06553079947575360419,0.06391478029294274301
