COUNTRY CODE,n_checklists,n_observers,n_tourist,n_tourist_ecoregion,local,local_ecoregion,date_range_cell,date_range_ecoregion,guided,guided_ecoregion
MS,5477,204,486,326,4991,4339,197608804.82015702,203898665.98070740,0.00873030935661415828,0.01655263738689031119
MT,6178,721,2566,968,3612,2451,163979871.80317255,181051894.94004095,0.01583312390047750691,0.00656877897990726430
MU,4558,784,3855,2010,703,559,26553517.858709960509,35594412.144803425457,0.01242236024844720497,0.02289281997918834547
MV,2304,494,1546,27,758,6,92521875.000000000000,6032290.909090909091,0.01003009027081243731,0.00000000000000000000
MW,9917,570,5158,4082,4759,5835,85243614.802863769285,133741615.40788545,0.04533762057877813505,0.05285078270860261382
MX,1388865,39884,376150,287132,1012715,1028863,215240351.17365619,245239242.39590576,0.09562076480389081419,0.08129196630228374712
MY,188198,6867,90592,73416,97606,104479,153082105.81621484,193750697.16405745,0.13213560469314079422,0.12487365229110512129
MZ,15679,746,5028,3165,10651,11212,112753967.268320683717,165824809.07004243,0.05977954783168396492,0.04757644762524398178
NA,74080,2560,56064,48823,18016,22688,49132760.734341252700,74656396.157234551328,0.27881352467394415144,0.28212801984681722420
NC,6122,537,5066,3236,1056,1063,40754817.902646194054,57474087.927424982554,0.06140651801029159520,0.06779661016949152542
NE,695,66,296,200,399,495,48069354.820143884892,125302501.29496403,0.00000000000000000000,0.00000000000000000000
NF,5969,401,3841,2997,2128,1681,65709957.446808510638,64272863.958956819153,0.02425799086757990868,0.01161483701760959161
NG,6275,366,1594,915,4681,5306,82367522.677290836653,146631091.33579810,0.01508664627930682977,0.01247248716067498166
NI,105823,2545,13102,8281,92721,95800,201439837.67611956,237200697.70275074,0.03290037985540987624,0.02367864693446088795
NL,255527,13954,51012,26276,204515,209466,330148226.93492273,456458933.93285880,0.01822380270632244955,0.01239757914338919926
NO,226003,7192,68866,34419,157137,119494,371199247.69848188,409082501.18443536,0.03074844934527911785,0.02307856793743890518
NP,111664,2765,25864,22411,85800,89253,250820214.38601519,265425573.26264508,0.04587680737249086383,0.04122315689395035446
NR,8,6,8,,0,,32400.000000000000,,,
NU,203,56,196,103,7,34,9987073.891625615764,202355737.22627737,0.00000000000000000000,0.00000000000000000000
NZ,948506,13415,191241,113871,757265,620931,368914567.86820537,423493486.10809443,0.03657250425359896707,0.02538664306058506905
OM,33735,1202,22702,17854,11033,12576,81662703.494886616274,122954196.043378245153,0.13155696625459405279,0.13882362991756012131
PA,503159,15308,173343,110087,329816,363900,223649506.06865822,264378149.24713125,0.15155118167849564645,0.11151398532497189025
PE,544339,14770,226052,166816,318287,355310,149013708.06060194,199369542.08294550,0.16129314208874943971,0.13601119583394324901
PF,9250,866,7324,3999,1926,970,33501838.183783783784,38617096.397665526263,0.02820306204673650282,0.02536997885835095137
PG,34740,890,20108,16314,14632,15177,76465708.601036269430,96110362.960845955987,0.22256317005720347009,0.23592503987240829346
