COUNTRY CODE,n_checklists,n_observers,n_tourist,n_tourist_ecoregion,local,local_ecoregion,date_range_cell,date_range_ecoregion,guided,guided_ecoregion
GL,6140,673,4664,1131,1476,763,37977514.006514657980,59403649.419218585005,0.03757668711656441718,0.01669941060903732809
GM,22343,879,16282,13458,6061,7406,63739715.812558743231,92415049.233128834356,0.12931785195936139332,0.17414568024541628023
GN,1708,100,995,628,713,1015,49423784.543325526932,88537913.572732805843,0.04929577464788732394,0.04070796460176991150
GP,50436,855,5036,3128,45400,34465,654413570.87794433,660949420.92410821,0.02836218939169453499,0.02918298824846110800
GQ,2764,79,1179,1078,1585,1633,74547570.477568740955,93008372.998893397270,0.21630537229029217719,0.19181342217991432651
GR,149068,7036,69372,44131,79696,80516,175502257.54689135,251046986.10315531,0.05944479771083379700,0.06201858673811118553
GS,12764,951,10115,3258,2649,1101,44507006.455656534002,67816983.344803854095,0.21774455638609034774,0.34433962264150943396
GT,321810,6986,52605,41138,269205,278496,214352315.13750350,239674845.04401910,0.07395656820217125698,0.06080142828803808768
GU,4945,283,722,474,4223,2697,275445121.94135490,275050735.28855251,0.01325714285714285714,0.01288475304223335719
GW,3649,105,953,461,2696,1910,197432310.87969307,297779585.99746942,0.00968927497494153024,0.02866861030126336249
GY,34727,937,20405,18412,14322,14938,86444029.740547700636,119651476.533733133433,0.33234730579179132072,0.33593643432001091256
HK,90647,3244,7385,5070,83262,69335,383340688.94061580,397813499.28633828,0.00770010848544879958,0.00794562919451184041
HM,13,5,13,4,0,0,704492.307692307692,410400.000000000000,,
